"City","Work","Price","Salary","Developed","CIA"
"Amsterdam",1714,65.6,49,"Developed","Developed"
"Athens",1792,53.8,30.4,"Developing","Developed"
"Bogota",2152,37.9,11.5,"Developing","Developing"
"Bombay",2052,30.3,5.3,"Developing","Developing"
"Brussels",1708,73.8,50.5,"Developed","Developed"
"Buenos_Aires",1971,56.1,12.5,"Developing","Developing"
"Caracas",2041,61,10.9,"Developing","Developing"
"Chicago",1924,73.9,61.9,"Developed","Developed"
"Copenhagen",1717,91.3,62.9,"Developed","Developed"
"Dublin",1759,76,41.4,"Developed","Developed"
"Dusseldorf",1693,78.5,60.2,"Developed","Developed"
"Frankfurt",1650,74.5,60.4,"Developed","Developed"
"Geneva",1880,95.9,90.3,"Developed","Developed"
"Helsinki",1667,113.6,66.6,"Developed","Developed"
"Hong_Kong",2375,63.8,27.8,"Developed","Developing"
"Houston",1978,71.9,46.3,"Developed","Developed"
"Johannesburg",1945,51.1,24,"Developing","Developed"
"Kuala_Lumpur",2167,43.5,9.9,"Developing","Developing"
"Lagos",1786,45.2,2.7,"Developing","Developing"
"Lisbon",1742,56.2,18.8,"Developing","Developed"
"London",1737,84.2,46.2,"Developed","Developed"
"Los_Angeles",2068,79.8,65.2,"Developed","Developed"
"Luxembourg",1768,71.1,71.1,"Developed","Developed"
"Madrid",1710,93.8,50,"Developed","Developed"
"Manila",2268,40,4,"Developing","Developing"
"Mexico_City",1944,49.8,5.7,"Developing","Developing"
"Milan",1773,82,53.3,"Developed","Developed"
"Montreal",1827,72.7,56.3,"Developed","Developed"
"Nairobi",1958,45,5.8,"Developing","Developing"
"New_York",1942,83.3,65.8,"Developed","Developed"
"Nicosia",1825,47.9,28.3,"Developing","Developing"
"Oslo",1583,115.5,63.7,"Developed","Developed"
"Panama",2078,49.2,13.8,"Developing","Developing"
"Paris",1744,81.6,45.9,"Developed","Developed"
"Rio_de_Janeiro",1749,46.3,10.5,"Developing","Developing"
"Sao_Paulo",1856,48.9,11.1,"Developing","Developing"
"Seoul",1842,58.3,32.7,"Developed","Developing"
"Singpore",2042,64.4,16.1,"Developed","Developing"
"Stockholm",1805,111.3,39.2,"Developed","Developed"
"Sydney",1668,70.8,52.1,"Developed","Developed"
"Taipei",2145,84.3,34.5,"Developed","Developing"
"Tel_Aviv",2015,67.3,27,"Developed","Developed"
"Tokyo",1880,115,68,"Developed","Developed"
"Toronto",1888,70.2,58.2,"Developed","Developed"
"Vienna",1780,78,51.3,"Developed","Developed"
"Zurich",1868,100,100,"Developed","Developed"
